datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),dewpoint_temperature (degC),wind_speed (m/s),mean_sea_level_pressure (Pa)
2023-01-01 00:00:00,"(51.049329, 13.738144)",era5,281.66,1.00,15.27,7.35,6.28,101551.12
2023-01-01 01:00:00,"(51.049329, 13.738144)",era5,281.66,1.00,15.11,7.06,6.04,101596.62
2023-01-01 02:00:00,"(51.049329, 13.738144)",era5,281.66,1.00,14.68,6.58,5.69,101640.34
2023-01-01 03:00:00,"(51.049329, 13.738144)",era5,281.66,1.00,14.12,6.32,5.62,101682.76
2023-01-01 04:00:00,"(51.049329, 13.738144)",era5,281.66,1.00,14.08,6.28,5.69,101657.46
2023-01-01 05:00:00,"(51.049329, 13.738144)",era5,281.66,1.00,13.59,6.11,5.83,101667.89
2023-01-01 06:00:00,"(51.049329, 13.738144)",era5,281.66,1.00,13.12,5.96,5.86,101696.50
2023-01-01 07:00:00,"(51.049329, 13.738144)",era5,281.66,1.00,12.98,5.91,5.86,101762.62
2023-01-01 08:00:00,"(51.049329, 13.738144)",era5,281.66,1.00,13.04,5.98,5.75,101820.75
2023-01-01 09:00:00,"(51.049329, 13.738144)",era5,281.66,1.00,13.64,6.31,5.83,101882.85
2023-01-01 10:00:00,"(51.049329, 13.738144)",era5,281.66,1.00,14.48,6.00,4.94,101921.13
2023-01-01 11:00:00,"(51.049329, 13.738144)",era5,281.66,1.00,15.23,6.32,5.22,101928.31
2023-01-01 12:00:00,"(51.049329, 13.738144)",era5,281.66,1.00,15.55,6.50,5.19,101925.81
2023-01-01 13:00:00,"(51.049329, 13.738144)",era5,281.66,1.00,15.51,6.58,4.80,101889.56
2023-01-01 14:00:00,"(51.049329, 13.738144)",era5,281.66,1.00,15.37,6.48,4.44,101895.42
2023-01-01 15:00:00,"(51.049329, 13.738144)",era5,281.66,1.00,14.71,6.24,3.79,101979.68
2023-01-01 16:00:00,"(51.049329, 13.738144)",era5,281.66,1.00,13.96,6.14,3.22,102022.68
2023-01-01 17:00:00,"(51.049329, 13.738144)",era5,281.66,1.00,13.27,6.15,3.29,102016.60
2023-01-01 18:00:00,"(51.049329, 13.738144)",era5,281.66,1.00,12.89,6.05,3.31,102045.88
2023-01-01 19:00:00,"(51.049329, 13.738144)",era5,281.66,1.00,13.00,6.12,3.27,102040.32
2023-01-01 20:00:00,"(51.049329, 13.738144)",era5,281.66,1.00,12.95,6.24,2.86,102059.08
